title,release_date,release_year,revenue,genres
Trouble in Paradise,1932-10-21,1932,0,"['Comedy', 'Romance']"
Back to the Future Part III,1990-05-25,1990,244527583,"['Adventure', 'Comedy', 'Family', 'Science Fiction']"
Braveheart,1995-05-24,1995,210000000,"['Action', 'Drama', 'History', 'War']"
To Be or Not to Be,1942-03-05,1942,0,"['Comedy', 'War']"
Star Trek: First Contact,1996-11-21,1996,150000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Star Trek: Insurrection,1998-12-10,1998,118000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Star Trek: Nemesis,2002-12-13,2002,67312826,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Mean Streets,1973-10-02,1973,3000000,"['Drama', 'Crime']"
Hotel Rwanda,2004-09-11,2004,38000000,"['Drama', 'History', 'War']"
Dead Poets Society,1989-06-02,1989,235860116,['Drama']
Arsenic and Old Lace,1944-09-23,1944,0,"['Comedy', 'Crime']"
North by Northwest,1959-07-07,1959,13275000,"['Mystery', 'Thriller']"
Saw III,2006-10-27,2006,163876815,"['Horror', 'Thriller', 'Crime']"
Saw II,2005-10-28,2005,152925093,['Horror']
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,2008,786636033,"['Adventure', 'Action']"
The Terminator,1984-10-26,1984,78371200,"['Action', 'Thriller', 'Science Fiction']"
East of Eden,1955-03-09,1955,5,['Drama']
Rebel Without a Cause,1955-10-27,1955,4500000,['Drama']
Rebecca,1940-04-12,1940,6000000,"['Drama', 'Mystery']"
Boys Don't Cry,1999-09-02,1999,11540607,"['Crime', 'Drama']"
The Outsiders,1983-03-25,1983,33697647,"['Crime', 'Drama']"
Bride of Frankenstein,1935-04-21,1935,0,"['Horror', 'Science Fiction']"
Syriana,2005-11-23,2005,93974620,"['Drama', 'Thriller']"
Rumble Fish,1983-10-20,1983,2494480,"['Action', 'Crime', 'Drama']"
The Wanderers,1979-07-13,1979,23000000,['Drama']
Stand by Me,1986-08-22,1986,52287414,"['Crime', 'Drama']"
The Godfather,1972-03-14,1972,245066411,"['Drama', 'Crime']"
Some Like It Hot,1959-03-18,1959,25000000,"['Comedy', 'Romance']"
The Godfather: Part II,1974-12-20,1974,102600000,"['Drama', 'Crime']"
Natural Born Killers,1994-08-25,1994,50282766,"['Crime', 'Thriller', 'Drama']"
The Godfather: Part III,1990-12-24,1990,136766062,"['Crime', 'Drama', 'Thriller']"
High Fidelity,2000-03-17,2000,47126295,"['Comedy', 'Drama', 'Romance', 'Music']"
