title,release_date,release_year,revenue,genres
Dream a Little Dream,1989-03-03,1989,0,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']"
Some Kind of Wonderful,1987-02-27,1987,18553948,"['Drama', 'Romance']"
Sixteen Candles,1984-05-04,1984,23686027,"['Comedy', 'Romance']"
Eagles: Hell Freezes Over,1994-08-12,1994,0,['Music']
Man in the Chair,2007-01-27,2007,0,"['Comedy', 'Drama']"
G,2002-05-10,2002,3020784,"['Drama', 'Romance']"
Illegal Tender,2007-08-24,2007,3106835,"['Drama', 'Action', 'Thriller', 'Crime']"
Another Cinderella Story,2008-09-16,2008,0,['Music']
Phantasm II,1988-07-08,1988,7282851,"['Action', 'Horror', 'Science Fiction', 'Thriller']"
The Pink Panther 2,2009-02-06,2009,75871032,"['Comedy', 'Mystery']"
Amazing Grace,2006-09-16,2006,0,['Drama']
The Gene Generation,2007-01-01,2007,0,"['Action', 'Science Fiction']"
Buddy,1997-06-06,1997,0,"['Adventure', 'Comedy', 'Family']"
Charlotte's Web,1973-03-01,1973,0,"['Music', 'Animation', 'Drama', 'Family']"
Jonah: A VeggieTales Movie,2002-10-04,2002,0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']"
The Boston Strangler,2006-03-14,2006,0,"['Crime', 'Drama', 'Thriller']"
A Good Woman,2004-09-15,2004,0,"['Comedy', 'Romance']"
Pierrepoint: The Last Hangman,2005-12-07,2005,0,['Drama']
Full Frontal,2002-08-02,2002,2506446,"['Comedy', 'Drama', 'Romance']"
Hotel for Dogs,2009-01-16,2009,73034460,"['Comedy', 'Family']"
The Grey Zone,2001-09-13,2001,0,"['Drama', 'War']"
Clue,1985-12-13,1985,14643997,"['Comedy', 'Thriller', 'Crime', 'Mystery']"
"Mystery, Alaska",1999-10-01,1999,8888143,"['Drama', 'Comedy']"
Rent: Filmed Live on Broadway,2008-09-24,2008,0,"['Drama', 'Music', 'Romance']"
Fully Flared,2007-11-16,2007,0,['Documentary']
The Mother of Tears,2007-09-06,2007,54947,['Horror']
Eight Days a Week,1997-01-17,1997,0,"['Comedy', 'Romance']"
Species: The Awakening,2007-10-02,2007,0,"['Horror', 'Science Fiction', 'Thriller']"
Everyone's Hero,2006-09-15,2006,16627188,"['Adventure', 'Animation', 'Comedy', 'Family']"
Midnight Clear,2006-01-01,2006,0,['Drama']
De-Lovely,2004-07-02,2004,0,"['Drama', 'Music']"
The Toxic Avenger,1984-05-01,1984,0,"['Science Fiction', 'Action', 'Comedy', 'Horror']"
"Snoopy, Come Home",1972-09-08,1972,0,['Family']
This Christmas,2007-11-27,2007,0,"['Comedy', 'Drama']"
Eddie Murphy: Delirious,1983-08-17,1983,0,['Comedy']
Undisputed II: Last Man Standing,2006-04-11,2006,0,"['Action', 'Crime', 'Thriller']"
200 Cigarettes,1999-02-26,1999,6852450,"['Comedy', 'Drama', 'Romance']"
Hulk vs. Wolverine,2009-01-27,2009,0,"['Animation', 'Action', 'Science Fiction', 'Adventure', 'Fantasy']"
The Aristocrats,2005-01-01,2005,0,"['Comedy', 'Documentary']"
Breakin',1984-01-10,1984,38682707,['Music']
Joy Division,2007-09-07,2007,0,['Documentary']
Bring It On: In It To Win It,2007-12-12,2007,0,['Comedy']
Boogeyman 3,2008-10-17,2008,0,['Horror']
McLintock!,1963-11-13,1963,0,['Western']
Tall in the Saddle,1944-09-29,1944,0,['Western']
The Fighting Kentuckian,1949-09-15,1949,0,"['Adventure', 'Western']"
The Beast of War,1988-09-14,1988,0,"['Drama', 'War']"
Street Fighter: The Legend of Chun-Li,2009-02-27,2009,12764201,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Barely Legal,2005-10-21,2005,0,['Comedy']
CB4,1993-03-12,1993,17953778,"['Music', 'Comedy']"
King Corn,2007-10-12,2007,81368,['Documentary']
Babylon 5: The Lost Tales - Voices in the Dark,2007-07-31,2007,0,"['Action', 'Adventure', 'Science Fiction']"
SuicideGirls: The First Tour,2005-08-30,2005,0,['Documentary']
Step Into Liquid,2003-08-05,2003,0,"['Documentary', 'Drama']"
Newsies,1992-04-10,1992,0,"['Drama', 'Music', 'Family']"
Twilight Zone: The Movie,1983-06-24,1983,29450919,"['Drama', 'Fantasy', 'Horror', 'Science Fiction', 'Thriller']"
The Pixar Story,2007-08-28,2007,0,['Documentary']
The Jazz Singer,1980-12-17,1980,0,"['Drama', 'Music', 'Romance']"
Mini's First Time,2006-05-01,2006,0,"['Comedy', 'Crime', 'Drama']"
Good Time Max,2008-10-28,2008,0,['Drama']
God Grew Tired of Us,2006-12-31,2006,0,['Documentary']
Ace Ventura Jr: Pet Detective,2009-03-03,2009,0,"['Comedy', 'Family']"
The Golden Boys,2008-12-11,2008,0,"['Comedy', 'Romance']"
Born Free,1966-06-22,1966,0,"['Family', 'Adventure', 'Drama']"
The Girl Next Door,2007-07-19,2007,0,"['Thriller', 'Crime', 'Drama', 'Horror']"
The Night Stalker,1972-01-11,1972,0,"['Mystery', 'Horror', 'Thriller', 'TV Movie']"
Shanghai Kiss,2007-03-17,2007,0,"['Comedy', 'Drama', 'Romance']"
Something New,2006-01-29,2006,11400000,"['Comedy', 'Drama', 'Romance']"
Witless Protection,2008-02-22,2008,0,"['Action', 'Adventure', 'Comedy', 'Crime']"
American Gun,2005-01-01,2005,0,['Drama']
Role Models,2008-11-07,2008,92380927,['Comedy']
A Boy Named Charlie Brown,1969-12-04,1969,0,"['Animation', 'Comedy', 'Family']"
"Murder, Inc.",1960-06-28,1960,0,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The Grand,2007-06-07,2007,0,['Comedy']
Missing in Action,1984-11-16,1984,22812411,"['Action', 'Adventure', 'Thriller', 'War']"
Weapons,2007-01-19,2007,0,"['Crime', 'Drama']"
Charlie & me,2008-01-05,2008,0,"['TV Movie', 'Drama', 'Family']"
Metropolitan,1990-08-03,1990,0,"['Comedy', 'Drama']"
Obsession: Radical Islam's War Against the West,2005-10-21,2005,0,['Documentary']
Crossroads,1986-03-14,1986,5738952,"['Drama', 'Music', 'Mystery', 'Romance']"
Play Misty for Me,1971-11-03,1971,10600000,"['Crime', 'Drama', 'Romance', 'Thriller']"
I Am David,2003-12-03,2003,0,"['Drama', 'Family']"
Inside,2006-03-26,2006,0,"['Drama', 'Horror', 'Thriller']"
Mickey's Once Upon a Christmas,1999-12-07,1999,0,"['Animation', 'Family', 'Comedy']"
Captain Kidd,1945-11-22,1945,0,"['Action', 'Adventure']"
The Notorious Bettie Page,2005-09-14,2005,1410778,"['Comedy', 'Drama']"
Ben 10: Secret of the Omnitrix,2007-08-10,2007,0,"['Animation', 'Science Fiction', 'Family']"
Don't Tell Mom the Babysitter's Dead,1991-06-07,1991,25196249,"['Comedy', 'Family']"
Land of the Blind,2006-01-01,2006,0,"['Drama', 'Thriller']"
Every Which Way But Loose,1978-12-19,1978,85,"['Action', 'Comedy', 'Adventure', 'Romance']"
First Born,2007-01-01,2007,0,"['Drama', 'Horror', 'Thriller']"
The Plague,2006-09-05,2006,0,"['Thriller', 'Horror']"
Becket,1964-03-11,1964,0,"['Drama', 'History']"
Dark Ride,2006-10-20,2006,0,"['Horror', 'Thriller']"
Hood of Horror,2006-06-27,2006,25900,"['Action', 'Comedy', 'Drama', 'Horror']"
Tooth and Nail,2007-10-16,2007,0,"['Drama', 'Horror', 'Thriller', 'Science Fiction']"
Unearthed,2007-01-01,2007,0,"['Action', 'Adventure', 'Horror', 'Science Fiction', 'Thriller']"
Car Wash,1976-10-22,1976,0,"['Romance', 'Comedy', 'Drama']"
Dead Tone,2007-05-16,2007,0,"['Horror', 'Thriller']"
Love and a .45,1994-11-23,1994,0,"['Crime', 'Thriller']"
Rope of Sand,1949-08-03,1949,0,"['Drama', 'Action', 'Thriller']"
Return of the Killer Tomatoes!,1988-04-22,1988,0,"['Comedy', 'Horror', 'Science Fiction']"
Shadows,1959-11-11,1959,0,['Drama']
Disney Princess Enchanted Tales: Follow Your Dreams,2007-09-03,2007,0,"['Animation', 'Family']"
The Greatest Game Ever Played,2005-09-30,2005,15431177,"['Drama', 'Family']"
Furnace,2007-12-11,2007,0,"['Crime', 'Horror', 'Mystery']"
Snow Day,2000-02-11,2000,0,"['Comedy', 'Family']"
Starflight: The Plane That Couldn't Land,1983-02-27,1983,0,"['Adventure', 'TV Movie']"
The Hamiltons,2006-11-19,2006,0,"['Drama', 'Horror', 'Thriller']"
Twelve O'Clock High,1949-12-21,1949,3225000,"['War', 'Action', 'Drama']"
Dane Cook: Vicious Circle,2006-09-04,2006,0,['Comedy']
Around the Bend,2004-10-08,2004,0,['Drama']
VeggieTales: The Pirates Who Don't Do Anything,2008-01-11,2008,0,"['Adventure', 'Animation', 'Comedy', 'Science Fiction', 'Family']"
Monsters vs Aliens,2009-03-19,2009,381509870,"['Animation', 'Family', 'Adventure', 'Science Fiction']"
Kissing a Fool,1998-02-27,1998,0,"['Comedy', 'Romance']"
The 7th Voyage of Sinbad,1958-12-05,1958,0,"['Action', 'Adventure', 'Family', 'Fantasy']"
The Last House on the Left,1972-08-30,1972,0,"['Horror', 'Thriller']"
PNYC: Portishead - Roseland New York,1998-11-02,1998,0,['Music']
Otis,2008-03-07,2008,0,"['Comedy', 'Horror']"
Australia: Land Beyond Time,2002-05-25,2002,0,['Documentary']
Get Smart's Bruce and Lloyd Out of Control,2008-07-01,2008,0,"['Action', 'Comedy']"
Griffin & Phoenix,2006-09-12,2006,0,"['Comedy', 'Drama', 'Romance']"
Stiletto,2008-04-29,2008,0,"['Action', 'Crime', 'Drama', 'Thriller']"
Penny Dreadful,2006-11-10,2006,0,"['Horror', 'Thriller']"
Extreme Movie,2008-12-05,2008,0,['Comedy']
Cirque du Soleil: Quidam,1999-12-09,1999,0,"['Documentary', 'Music']"
Cirque du Soleil: Dralion,2001-08-04,2001,0,"['Documentary', 'Music']"
Chop Shop,2007-05-21,2007,0,['Drama']
At First Sight,1999-01-15,1999,0,"['Drama', 'Romance']"
Grand Canyon Adventure: River at Risk,2008-03-12,2008,0,"['Adventure', 'Documentary']"
Journey to the End of the Night,2006-04-21,2006,0,"['Drama', 'Thriller']"
Destiny in Space,1994-01-17,1994,0,['Documentary']
Mission to Mir,1997-10-17,1997,0,['Documentary']
"IMAX - Straight Up, Helicopters in Action",2002-09-18,2002,0,['Documentary']
Wolves,1999-03-01,1999,5471376,['Documentary']
Surviving Christmas,2004-09-21,2004,14793624,"['Comedy', 'Romance']"
Stitch! The Movie,2003-08-26,2003,0,"['Comedy', 'Adventure']"
Gracie,2007-06-01,2007,2955039,['Drama']
Bomb It,2007-04-27,2007,0,['Documentary']
The Cowboys,1972-01-13,1972,7500000,"['Action', 'Adventure', 'Drama', 'Western']"
Crossing Over,2009-02-26,2009,1037335,"['Crime', 'Drama']"
Who's Your Caddy?,2007-07-27,2007,0,['Comedy']
Teen Wolf Too,1987-11-20,1987,0,"['Comedy', 'Fantasy', 'Family']"
Nine Inch Nails: Beside You in Time,2007-02-23,2007,0,['Music']
Dear Zachary: A Letter to a Son About His Father,2008-10-31,2008,0,"['Crime', 'Documentary']"
The Prince & Me 2: The Royal Wedding,2006-02-21,2006,0,"['Comedy', 'Family', 'Romance']"
Beaches,1988-12-21,1988,57041866,"['Comedy', 'Drama']"
Careless,2007-05-17,2007,0,"['Comedy', 'Mystery', 'Romance']"
Back to School,1986-06-13,1986,91258000,['Comedy']
Missing,1982-02-12,1982,14000000,"['Drama', 'History', 'Mystery', 'Thriller']"
Scooby-Doo! and the Cyber Chase,2001-10-09,2001,0,"['Animation', 'Comedy', 'Family', 'Mystery', 'Science Fiction', 'Adventure']"
Grumpier Old Men,1995-12-22,1995,0,"['Romance', 'Comedy']"
Aerosmith - You Gotta Move,2004-11-01,2004,0,"['Documentary', 'Music']"
Fire in the Sky,1993-03-12,1993,19724334,['Science Fiction']
Private Valentine: Blonde & Dangerous,2008-11-07,2008,0,"['Comedy', 'War', 'Adventure', 'Drama']"
Robot Jox,1989-10-01,1989,0,"['Science Fiction', 'Action']"
Conversations with Other Women,2006-06-07,2006,973525,"['Drama', 'Romance']"
Larry the Cable Guy: Health Inspector,2006-03-24,2006,0,['Comedy']
Vacancy 2: The First Cut,2008-10-24,2008,0,"['Horror', 'Thriller']"
Paparazzi,2004-09-03,2004,16605763,"['Action', 'Drama', 'Thriller']"
Evil Brain from Outer Space,1965-01-01,1965,0,"['Action', 'Science Fiction']"
Kissing Jessica Stein,2001-04-21,2001,10013424,['Comedy']
The Perfect Man,2005-06-17,2005,0,"['Comedy', 'Drama', 'Family', 'Romance']"
For the Bible Tells Me So,2007-10-05,2007,312751,['Documentary']
Hoboken Hollow,2005-11-16,2005,0,['Horror']
An Extremely Goofy Movie,2000-02-29,2000,0,"['Animation', 'Family', 'Comedy']"
Kabluey,2007-06-25,2007,83398,"['Comedy', 'Drama']"
The Tigger Movie,2000-02-11,2000,45554533,"['Animation', 'Family']"
Tarzan II,2005-06-13,2005,0,"['Adventure', 'Animation', 'Family']"
Flowers in the Attic,1987-11-20,1987,0,"['Drama', 'Horror', 'Mystery', 'Thriller']"
Foul Play,1978-07-14,1978,0,"['Comedy', 'Mystery', 'Thriller']"
Mommie Dearest,1981-09-18,1981,0,['Drama']
Noise,2008-05-09,2008,0,"['Comedy', 'Drama', 'Thriller']"
Quid Pro Quo,2008-06-13,2008,0,"['Mystery', 'Drama', 'Thriller']"
Right at Your Door,2006-01-23,2006,2043704,"['Drama', 'Thriller']"
The Last Winter,2006-09-11,2006,0,"['Horror', 'Thriller']"
Connie and Carla,2004-04-16,2004,11341016,"['Music', 'Comedy', 'Crime']"
Sabrina the Teenage Witch,1996-04-07,1996,0,"['TV Movie', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']"
Nobel Son,2007-04-28,2007,333912,"['Comedy', 'Crime', 'Drama', 'Thriller']"
84 Charing Cross Road,1987-02-13,1987,0,"['Drama', 'Romance']"
Nitro Circus 3,2005-01-01,2005,0,"['Action', 'Adventure', 'Comedy', 'Drama']"
Doctor Who,1996-03-31,1996,42000000,"['TV Movie', 'Adventure', 'Science Fiction']"
Jailhouse Rock,1957-11-08,1957,0,"['Drama', 'Music']"
Running Scared,1986-06-27,1986,0,"['Thriller', 'Action', 'Comedy', 'Crime']"
Another Gay Sequel: Gays Gone Wild!,2008-11-06,2008,0,['Comedy']
Latter Days,2003-07-10,2003,819939,"['Drama', 'Comedy', 'Romance']"
The Lost,2006-03-11,2006,0,"['Horror', 'Crime', 'Drama', 'Thriller']"
Annie,1982-06-18,1982,57059003,"['Comedy', 'Drama', 'Family', 'Music']"
"Sarah, Plain and Tall",1991-02-03,1991,0,"['Drama', 'Family']"
Made,2001-07-13,2001,5476060,"['Action', 'Comedy', 'Thriller']"
While She Was Out,2008-10-27,2008,391410,"['Action', 'Adventure', 'Drama', 'Horror', 'Thriller']"
Hurricane on the Bayou,2006-07-29,2006,0,['Documentary']
Skylark,1993-02-07,1993,0,"['Drama', 'Family']"
Night of the Creeps,1986-08-21,1986,0,"['Comedy', 'Horror', 'Science Fiction']"
Sophie's Choice,1982-12-08,1982,30036000,"['Drama', 'Romance']"
What's Love Got to Do with It,1993-06-09,1993,0,"['Drama', 'Music']"
A Colbert Christmas: The Greatest Gift of All!,2008-11-23,2008,0,['Comedy']
Class Action,1991-03-15,1991,28,['Drama']
"Swades: We, the People",2004-12-17,2004,0,['Drama']
White Heat,1949-09-02,1949,0,"['Crime', 'Drama', 'Thriller']"
Only the Strong,1993-08-27,1993,3283371,['Action']
Trekkies,1997-10-18,1997,0,['Documentary']
What Doesn't Kill You,2008-12-12,2008,44872,"['Action', 'Crime', 'Drama']"
Multi-Facial,1995-01-01,1995,0,['Drama']
Batman & Mr. Freeze: SubZero,1998-03-17,1998,0,"['Animation', 'Action', 'Crime']"
Splinter,2006-08-17,2006,0,['Thriller']
Air Force,1943-03-20,1943,0,"['Action', 'Adventure', 'Drama', 'History', 'War']"
Green Street Hooligans 2,2009-03-23,2009,0,"['Crime', 'Drama']"
The Burrowers,2008-09-09,2008,0,"['Action', 'Horror', 'Western']"
The Mummy,1932-12-22,1932,0,['Horror']
Kung Fu Panda: Secrets of the Furious Five,2008-11-08,2008,0,"['Animation', 'Comedy', 'Family']"
Phantom of the Opera,1943-08-27,1943,0,"['Music', 'Horror', 'Romance']"
House on Haunted Hill,1959-02-17,1959,0,"['Horror', 'Mystery']"
Earthstorm,2006-06-12,2006,0,"['TV Movie', 'Action', 'Science Fiction', 'Thriller']"
Bait Shop,2008-09-02,2008,0,['Comedy']
Interiors,1978-08-02,1978,0,['Drama']
Cheaters,2000-05-20,2000,0,['Drama']
The Bridge at Remagen,1969-06-25,1969,0,"['Action', 'History', 'War']"
Donovan's Reef,1963-06-12,1963,6600000,"['Adventure', 'Comedy', 'Romance']"
The Enemy Below,1957-12-25,1957,0,"['Action', 'Adventure', 'Drama', 'History', 'Thriller', 'War']"
Kermit's Swamp Years,2002-09-03,2002,0,"['Fantasy', 'Family', 'Comedy']"
Post impact,2004-01-01,2004,0,"['Science Fiction', 'Adventure']"
The Anniversary,2009-01-02,2009,0,['Comedy']
Marty,1955-04-11,1955,3000000,"['Drama', 'Romance']"
All Roads Lead Home,2008-01-01,2008,0,"['Drama', 'Family']"
633 Squadron,1964-04-06,1964,0,"['Action', 'Drama', 'History', 'War']"
Beer for My Horses,2008-08-08,2008,666045,"['Action', 'Comedy']"
A Passage to India,1984-12-14,1984,27187653,"['Drama', 'Adventure', 'History']"
El cantante,2006-09-12,2006,0,"['History', 'Drama', 'Music']"
Just Add Water,2008-03-18,2008,0,"['Comedy', 'Drama']"
Room Service,1938-09-30,1938,0,['Comedy']
The Shaggy D.A.,1976-12-17,1976,0,"['Comedy', 'Family']"
The Shaggy Dog,1959-03-19,1959,0,"['Comedy', 'Family']"
The Way of War,2009-02-20,2009,0,"['Action', 'Thriller']"
The Three Caballeros,1944-07-21,1944,0,"['Animation', 'Family', 'Music']"
The Legend of Billie Jean,1985-07-19,1985,3099497,"['Action', 'Drama']"
Invasion U.S.A.,1985-09-27,1985,0,"['Action', 'Thriller']"
The Lawless,2007-10-19,2007,0,"['Action', 'Thriller']"
Bad Biology,2008-02-08,2008,0,"['Fantasy', 'Horror']"
Abandon,2002-10-14,2002,10719357,"['Drama', 'Mystery', 'Thriller']"
Gen 13,2000-10-30,2000,0,"['Action', 'Animation', 'Science Fiction']"
The Land Before Time II: The Great Valley Adventure,1994-12-12,1994,0,"['Animation', 'Family', 'Adventure']"
Vampire Hunter D: Bloodlust,2000-08-25,2000,0,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Horror', 'Mystery', 'Science Fiction']"
Ben 10: Race Against Time,2008-02-11,2008,0,"['Action', 'Family', 'Science Fiction']"
Love n' Dancing,2009-01-01,2009,0,"['Romance', 'Drama']"
The Lucky Ones,2008-09-26,2008,0,"['Comedy', 'Drama', 'History']"
a/k/a Tommy Chong,2006-06-14,2006,0,['Documentary']
Selena,1997-03-21,1997,60000000,['Drama']
The Good Student,2006-01-01,2006,0,['Comedy']
Winged Creatures,2008-06-24,2008,0,"['Crime', 'Drama']"
Wasted,2006-01-01,2006,0,['Drama']
Tokyo Gore Police,2008-10-03,2008,0,"['Adventure', 'Horror', 'Action', 'Science Fiction']"
On the Road with Judas,2007-01-27,2007,0,"['Drama', 'Comedy', 'Romance']"
Final Days of Planet Earth,2006-03-15,2006,0,"['Action', 'Science Fiction', 'Drama', 'Horror']"
Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,2002-01-19,2002,0,"['Science Fiction', 'Adventure', 'Action']"
This Film Is Not Yet Rated,2006-01-26,2006,302179,['Documentary']
The Cake Eaters,2007-04-29,2007,0,"['Drama', 'Romance']"
Gods and Generals,2003-02-21,2003,12923936,"['Drama', 'History', 'War']"
Love Nest,1951-10-10,1951,0,"['Drama', 'Comedy', 'Romance']"
The Blue Dahlia,1946-04-19,1946,0,"['Crime', 'Drama']"
Aftermath: Population Zero,2008-03-09,2008,0,"['Documentary', 'Science Fiction']"
Carnival of Souls,1962-09-26,1962,0,"['Horror', 'Mystery']"
House Party,1990-03-09,1990,26386000,"['Comedy', 'Drama']"
House Party 2,1991-10-23,1991,0,['Comedy']
House Party 3,1994-01-01,1994,0,['Comedy']
The Day the Earth Stopped,2008-12-09,2008,0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Thomas and the Magic Railroad,2000-07-26,2000,19748009,"['Animation', 'Drama', 'Family', 'Science Fiction']"
The Adventures of Elmo in Grouchland,1999-10-01,1999,0,"['Music', 'Family', 'Adventure', 'Comedy', 'Fantasy']"
The Delta Force,1986-02-14,1986,17768900,"['Action', 'Thriller']"
American High School,2009-04-07,2009,0,"['Comedy', 'Romance']"
What Would Jesus Buy?,2007-03-11,2007,0,['Documentary']
Cinderella III: A Twist in Time,2007-02-06,2007,0,"['Animation', 'Romance', 'Family', 'Fantasy']"
The Big Red One,1980-05-28,1980,7206220,"['Drama', 'War']"
100 Million BC,2008-07-29,2008,0,['Science Fiction']
Flight of the Living Dead: Outbreak on a Plane,2007-04-06,2007,0,"['Horror', 'Action']"
Forbidden Zone,1980-03-21,1980,0,"['Music', 'Comedy', 'Fantasy']"
Fist of the Warrior,2007-06-04,2007,0,"['Action', 'Crime', 'Drama', 'Thriller']"
Undertow,2004-05-14,2004,143597,"['Drama', 'Thriller']"
Mister Lonely,2008-12-17,2008,0,"['Comedy', 'Drama']"
Juice,1992-01-17,1992,20146880,"['Action', 'Crime', 'Drama', 'Thriller']"
Phantasm III: Lord of the Dead,1994-05-06,1994,0,"['Horror', 'Action', 'Science Fiction']"
Phantasm IV: Oblivion,1998-07-31,1998,0,"['Horror', 'Science Fiction']"
Zero Effect,1998-01-30,1998,1980338,"['Comedy', 'Crime', 'Mystery', 'Thriller']"
Darkon,2006-09-12,2006,0,"['Documentary', 'Fantasy']"
Alice Doesn't Live Here Anymore,1974-12-09,1974,0,"['Drama', 'Romance']"
Let's Scare Jessica to Death,1971-08-06,1971,0,"['Horror', 'Mystery', 'Thriller']"
Safe Men,1998-08-17,1998,0,"['Comedy', 'Crime']"
Sarah Silverman: Jesus Is Magic,2005-02-11,2005,0,['Comedy']
The Wood,1999-07-16,1999,25059640,"['Comedy', 'Drama', 'Romance']"
Sundown: The Vampire in Retreat,1989-05-18,1989,0,"['Comedy', 'Horror', 'Western']"
Alive or Dead,2008-01-01,2008,0,"['Horror', 'Thriller']"
Baby Boy,2001-06-27,2001,29381649,"['Crime', 'Drama', 'Romance']"
The Best Man,1999-10-22,1999,34573780,"['Drama', 'Comedy']"
Simply Irresistible,1999-02-05,1999,4398989,['Comedy']
The Diary of Ellen Rimbauer,2003-05-12,2003,0,"['Drama', 'Horror', 'Mystery', 'Thriller']"
Breathing Room,2008-08-25,2008,0,"['Horror', 'Mystery', 'Thriller']"
Crime Partners,2003-01-01,2003,0,"['Drama', 'Thriller']"
Diary of a Tired Black Man,2009-01-01,2009,0,"['Comedy', 'Drama', 'Romance']"
Buzz Lightyear of Star Command: The Adventure Begins,2000-08-08,2000,0,"['Animation', 'Family', 'Comedy', 'Science Fiction', 'Adventure']"
Žižek!,2005-11-18,2005,0,['Documentary']
Highway to Hell,1991-11-21,1991,26055,"['Fantasy', 'Action', 'Comedy', 'Science Fiction']"
Storm Cell,2008-04-26,2008,0,"['Action', 'Drama', 'Horror', 'Thriller']"
Cedric the Entertainer: Starting Lineup,2002-10-01,2002,0,['Comedy']
Space Is the Place,1974-11-01,1974,0,['Science Fiction']
The Girl in the Park,2007-09-09,2007,0,['Drama']
Dead Mary,2008-03-03,2008,0,['Horror']
The Sons of Katie Elder,1965-06-23,1965,0,['Western']
Christopher Titus: Norman Rockwell is Bleeding,2004-06-06,2004,0,['Comedy']
Hooper,1978-07-28,1978,78000000,"['Action', 'Comedy']"
Jack and Jill vs. the World,2008-01-01,2008,0,"['Comedy', 'Romance']"
Gladiator,1992-03-06,1992,9,"['Action', 'Drama']"
Wizards,1977-02-09,1977,9000000,"['Animation', 'Fantasy', 'Science Fiction']"
Whatever It Takes,2000-03-31,2000,9902115,"['Drama', 'Comedy', 'Romance']"
Lady Death,2004-10-05,2004,0,"['Fantasy', 'Animation', 'Horror', 'Action', 'Science Fiction']"
Dark Passage,1947-09-27,1947,0,"['Crime', 'Drama', 'Romance', 'Thriller']"
Prozac Nation,2001-09-08,2001,0,['Drama']
Mr. 3000,2004-06-15,2004,21800302,"['Comedy', 'Drama']"
Tromeo & Juliet,1996-05-13,1996,0,"['Comedy', 'Drama', 'Romance', 'Thriller']"
Batman Beyond: Return of the Joker,2000-12-12,2000,0,"['Animation', 'Family']"
Amityville II: The Possession,1982-09-24,1982,12534817,['Horror']
Teen Titans: Trouble in Tokyo,2006-09-15,2006,0,"['Action', 'Adventure', 'Animation', 'Family', 'Science Fiction']"
Will Ferrell: You're Welcome America - A Final Night with George W. Bush,2009-03-14,2009,0,['Comedy']
The Boys from Brazil,1978-10-05,1978,0,"['Drama', 'Horror', 'Science Fiction', 'Thriller']"
Gone in 60 Seconds,1974-07-28,1974,0,"['Action', 'Crime', 'Drama', 'Thriller']"
Festival,1967-10-23,1967,0,"['Music', 'Documentary']"
D.A.R.Y.L.,1985-06-14,1985,7840873,"['Family', 'Science Fiction']"
Blackbeard's Ghost,1968-02-08,1968,0,"['Fantasy', 'Comedy', 'Family']"
Love Comes Softly,2003-04-13,2003,0,"['Drama', 'Romance', 'TV Movie', 'Western']"
The Butterfly Effect 3: Revelations,2009-01-09,2009,0,"['Science Fiction', 'Thriller', 'Drama', 'Crime']"
Repli-Kate,2002-01-18,2002,0,"['Science Fiction', 'Comedy']"
Girls Just Want to Have Fun,1985-04-12,1985,0,"['Comedy', 'Family', 'Music', 'Romance']"
War of the Worlds 2: The Next Wave,2008-01-01,2008,0,"['Action', 'Science Fiction', 'Adventure']"
Career Opportunities,1991-03-29,1991,11336986,"['Drama', 'Comedy', 'Romance']"
Massacre at Central High,1976-09-01,1976,0,"['Drama', 'Horror', 'Thriller']"
Holiday,1938-06-15,1938,0,['Comedy']
The Great Buck Howard,2008-01-18,2008,900689,"['Comedy', 'Drama']"
13 Hours in a Warehouse,2008-10-28,2008,0,"['Horror', 'Thriller']"
Creepshow,1982-11-12,1982,21028755,"['Horror', 'Comedy', 'Fantasy']"
Creepshow 2,1987-05-01,1987,0,['Horror']
Jackass 3D,2010-10-15,2010,117224271,"['Comedy', 'Documentary', 'Action']"
Ripple Effect,2007-06-21,2007,0,['Drama']
Higher Learning,1995-01-11,1995,38290723,"['Romance', 'Drama', 'Crime']"
Killer Klowns from Outer Space,1988-05-27,1988,0,"['Comedy', 'Horror', 'Science Fiction']"
With Honors,1994-04-29,1994,0,"['Comedy', 'Drama']"
The Stupids,1996-08-08,1996,2491989,"['Comedy', 'Family']"
Down to Earth,2001-02-16,2001,0,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']"
End of the Century: The Story of The Ramones,2003-01-19,2003,0,['Documentary']
The Loved One,1965-10-11,1965,0,['Comedy']
Creepshow 3,2006-04-24,2006,0,"['Horror', 'Science Fiction']"
Sullivan's Travels,1941-11-30,1941,0,"['Adventure', 'Comedy', 'Drama', 'Romance']"
Monster,2008-01-18,2008,0,"['Action', 'Horror', 'Science Fiction']"
Mercy Mission: The Rescue of Flight 771,1993-12-13,1993,0,['Drama']
3 Ninjas,1992-08-07,1992,0,"['Action', 'Adventure', 'Comedy', 'Family']"
Campfire Tales,1997-05-16,1997,0,['Horror']
Serenity,2005-08-25,2005,38869464,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Sea Monsters: A Prehistoric Adventure,2008-03-19,2008,0,['Documentary']
